label	text
1	shut up already
1	nobody wants you
1	nobody likes you
1	everyone hates you
1	pathetic creature
1	worthless creature
1	brainless creature
1	stop writing nonsense
1	stop the nonsense
1	don't write nonsense
1	you write nonsense
1	only nonsense you write
1	such nonsense
1	complete nonsense
1	absolute nonsense
1	just blabbering
1	you know nothing
1	you understand nothing
1	you have no brain
1	you have no idea
1	you have no clue
1	you have no intelligence
1	wasting my time
1	waste of time
1	misunderstanding
1	pathetic misunderstanding
1	complete misunderstanding
1	shame for the forum
1	shame and disgrace
1	you should be ashamed
1	disgrace
1	go educate yourself
1	educate yourself a little
1	you understand nothing
1	you know nothing
1	you can do nothing
1	nobody respects you
1	nobody takes you seriously
1	nobody listens to you
1	what a stupid topic
1	what a dumb topic
1	what a brainless topic
1	what a pathetic topic
1	what a disgusting topic
1	what a useless topic
1	stupid topic
1	dumb topic
1	brainless topic
1	pathetic topic
1	disgusting topic
1	useless topic
1	terrible topic
1	awful topic
1	bad topic
1	what a stupid idea
1	what a dumb idea
1	stupid idea
1	dumb idea
1	brainless idea
1	pathetic idea
1	disgusting idea
1	useless idea
1	terrible idea
1	awful idea
1	bad idea
1	what a stupid comment
1	what a dumb comment
1	stupid comment
1	dumb comment
1	brainless comment
1	pathetic comment
1	disgusting comment
1	useless comment
1	terrible comment
1	awful comment
1	bad comment
1	terrible writing
1	awful writing
1	bad writing
1	stupid writing
1	dumb writing
1	brainless writing
1	pathetic writing
1	disgusting writing
1	useless writing
1	stop writing
1	don't write anymore
1	get out of here
1	go away
1	nobody wants you here
1	nobody likes you here
1	everyone hates you here
1	leave
1	get lost
1	just go away
